invoiceNumber,ClientName,PONumber,Hostname,SerialNumber,Product,ConfirmedDate,ItemDescription,Quantity,Price
101133382,Energy Solutions,,ESDatto,00012e58cc0b,LT150,2019-04-01 00:49:09,Month of  ALTO (LT150) Service for device ESDatto with serial 00012e58cc0b - 121.33GB offsite,1,69.00
101133382,Lorin Hill Architect,,LorinHillAlto,00012e58b569,LT150,2019-04-01 00:49:09,Month of  Datto Cloud Service for device LorinHillAlto with serial 00012e58b569 for 1 agents (1 Year Retention) - 831.89GB offsite,1,79.00
101133382,Mark Olson Electric,,MOEALTO2,00012e6770cd,LT150,2019-04-01 00:49:09,Month of  Datto Cloud Service for device MOEALTO2 with serial 00012e6770cd for 1 agents (1 Year Retention) - 773.69GB offsite,1,79.00
101133382,,,,,LT150,2019-04-01 00:49:09,Month of  Datto Cloud Service for device BTAALTO2 with serial 00012e67420c for 1 agents (1 Year Retention) - 821.82GB offsite,1,79.00
101133382,,,ARCSOURCEBDR522,e0d55ea59922,S3B1000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR522 with serial e0d55ea59922 (1 Year Retention) - 1.16TB offsite,1,219.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR522 with serial e0d55ea59922,1,-76.65
101133382,ArcSource Alpha,,ARCSOURCEBDR507,e0d55ea596de,S3B1000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR507 with serial e0d55ea596de (1 Year Retention) - 773.21GB offsite,1,219.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR507 with serial e0d55ea596de,1,-76.65
101133382,Lorin Hill Architect,,ARCSOURCEBDR501,78f29e91330b,L3A2000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR501 with serial 78f29e91330b for 1 agents (1 Year Retention) - 2.25TB offsite,1,79.00
101133382,,,,,S3B3000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR502 with serial e0d55ea6c008 (1 Year Retention) - 2.81TB offsite,1,379.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR502 with serial e0d55ea6c008,1,-132.65
101133382,Ogrydziak/Prillinger Architects,,ARCSOURCEBDR518,e0d55ea6ba1d,S3B3000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR518 with serial e0d55ea6ba1d (1 Year Retention) - 2.78TB offsite,1,379.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR518 with serial e0d55ea6ba1d,1,-132.65
101133382,Andrew Skurman Architects,,ARCSOURCEBDR514,d05099d06e7b,S3P4000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR514 with serial d05099d06e7b (1 Year Retention) - 3.08TB offsite,1,449.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR514 with serial d05099d06e7b,1,-157.15
101133382,AXIS/GFA Architecture + Design,,ARCSOURCEBDR512,d05099d06e77,S3P4000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR512 with serial d05099d06e77 (1 Year Retention) - 3.29TB offsite,1,449.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR512 with serial d05099d06e77,1,-157.15
101133382,Stanton Architecture,,ARCSOURCEBDR521,d05099d064d9,S3P4000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR521 with serial d05099d064d9 (1 Year Retention) - 2.73TB offsite,1,449.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR521 with serial d05099d064d9,1,-157.15
101133382,Cheng Design,,ARCSOURCEBDR513,d05099d06ef7,S3P4000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR513 with serial d05099d06ef7 (1 Year Retention) - 2.32TB offsite,1,449.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR513 with serial d05099d06ef7,1,-157.15
101133382,Verner Architects,,ARCSOURCEBDR506,78f29e914374,L3A2000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR506 with serial 78f29e914374 for 1 agents (1 Year Retention) - 563.14MB offsite,1,79.00
101133382,Lowney Architecture,,ARCSOURCEBDR510,d05099d06ecb,S3P10000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR510 with serial d05099d06ecb (1 Year Retention) - 6.21TB offsite,1,799.00
101133382,,,,,,2019-04-01 00:49:09,35% Service Discount for device ARCSOURCEBDR510 with serial d05099d06ecb,1,-279.65
101133382,Aleck Wilson Architects,,ARCSOURCEBDR503,78f29e9145ae,L3A2000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR503 with serial 78f29e9145ae for 1 agents (1 Year Retention) - 1.68TB offsite,1,79.00
101133382,Burks Toma Architects,,ARCSOURCEBDR505,78f29e91445d,L3A2000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR505 with serial 78f29e91445d for 1 agents (1 Year Retention) - 1.81TB offsite,1,79.00
101133382,Regan Baker Design,,ARCSOURCEBDR504,78f29e91456d,L3A2000,2019-04-01 00:49:09,Month of  Datto Cloud Service for device ARCSOURCEBDR504 with serial 78f29e91456d for 1 agents (1 Year Retention) - 240.6GB offsite,1,79.00
